Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:58 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:59 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:00 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 17.57 Hz, Note: C#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 17.57 Hz, Note: C#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 17.57 Hz, Note: C#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 17.57 Hz, Note: C#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 17.57 Hz, Note: C#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 17.57 Hz, Note: C#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:01 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:02 PM
Peak Frequency: 35.15 Hz, Note: C#, Octave: 1, at 9/30/2024 12:11:03 PM
Peak Frequency: 35.15 Hz, Note: C#, Octave: 1, at 9/30/2024 12:11:03 PM
Peak Frequency: 35.15 Hz, Note: C#, Octave: 1, at 9/30/2024 12:11:03 PM
Peak Frequency: 35.15 Hz, Note: C#, Octave: 1, at 9/30/2024 12:11:03 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:03 PM
Peak Frequency: 23.43 Hz, Note: F#, Octave: 0, at 9/30/2024 12:11:03 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:03 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:03 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:03 PM
Peak Frequency: 29.29 Hz, Note: A#, Octave: 0, at 9/30/2024 12:11:03 PM
